2026-06-24T12:46:21.285253+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:45:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:46:51.394521+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:46:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:47:21.492102+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:46:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:47:51.598576+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:47:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:48:21.708588+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:47:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:48:51.815945+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:48:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:49:21.917039+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:48:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:49:52.023475+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:49:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:50:22.130759+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:49:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:50:52.236055+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:50:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:51:22.341208+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:50:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:51:52.440022+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:51:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:52:22.545826+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:51:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:52:52.647121+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:52:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:53:22.753285+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:52:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:53:52.858533+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:53:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:54:22.966581+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:53:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:54:53.068529+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:54:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:55:23.167602+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:54:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:55:53.274091+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:55:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:56:23.386067+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:55:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:56:53.501859+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:56:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:57:23.609410+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:56:56+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:57:53.721246+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:57:26+00:00; candle=2026-06-24T13:30:00+00:00
2026-06-24T12:58:23.820896+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:30:00+00:00; mode=live; export=2026-06-24T13:57:56+00:00; candle=2026-06-24T13:30:00+00:00
